datetime,H_value,H_num
2020-08-20 16:30:00,11892.5,450
2020-08-20 21:15:00,11883.0,451
2020-08-21 00:00:00,11881.0,452
2020-08-21 03:45:00,11874.5,453
2020-08-21 17:00:00,11767.5,454
2020-08-22 08:15:00,11623.0,455
2020-08-22 15:00:00,11637.0,456
2020-08-23 00:00:00,11686.0,457
2020-08-23 07:45:00,11617.0,458
2020-08-23 13:30:00,11674.0,459
2020-08-23 20:00:00,11722.5,460
2020-08-24 08:15:00,11810.0,461
2020-08-24 11:15:00,11826.0,462
2020-08-24 23:30:00,11789.0,463
2020-08-25 11:00:00,11661.0,464
2020-08-25 22:30:00,11389.0,465
2020-08-26 02:45:00,11398.5,466
2020-08-26 10:15:00,11445.0,467
2020-08-26 16:15:00,11541.5,468
2020-08-27 09:30:00,11453.5,469
2020-08-27 13:15:00,11585.0,470
2020-08-28 06:30:00,11440.0,471
2020-08-28 12:00:00,11480.0,472
2020-08-28 16:15:00,11533.5,473
2020-08-29 00:00:00,11542.0,474
2020-08-29 07:45:00,11575.0,475
2020-08-29 19:30:00,11543.0,476
2020-08-30 08:00:00,11611.0,477
2020-08-30 13:00:00,11657.0,478
2020-08-31 00:00:00,11726.0,479
2020-08-31 13:15:00,11775.0,480
2020-09-01 16:00:00,12066.0,481
2020-09-01 22:15:00,12057.0,482
2020-09-02 19:15:00,11409.0,483
2020-09-03 00:30:00,11442.0,484
2020-09-03 08:00:00,11465.0,485
2020-09-03 21:00:00,10791.0,486
2020-09-04 04:15:00,10327.0,487
2020-09-04 13:30:00,10496.0,488
2020-09-04 21:00:00,10624.5,489
2020-09-05 06:30:00,10491.0,490
2020-09-05 14:00:00,10342.5,491
2020-09-06 04:00:00,10217.0,492
2020-09-06 09:00:00,10279.0,493
2020-09-06 22:00:00,10348.5,494
2020-09-07 00:45:00,10307.5,495
2020-09-07 16:15:00,10237.0,496
2020-09-07 19:15:00,10222.0,497
2020-09-08 00:15:00,10440.5,498
2020-09-08 08:00:00,10340.0,499
2020-09-08 18:00:00,10167.5,500
2020-09-08 22:30:00,10220.0,501
2020-09-09 11:15:00,10278.5,502
2020-09-09 15:15:00,10274.0,503
2020-09-09 19:00:00,10337.5,504
2020-09-10 04:45:00,10417.0,505
2020-09-10 14:00:00,10485.5,506
2020-09-11 00:15:00,10371.5,507
2020-09-11 09:00:00,10335.0,508
2020-09-11 16:30:00,10340.0,509
2020-09-11 23:45:00,10393.0,510
2020-09-12 05:00:00,10370.5,511
2020-09-12 10:15:00,10353.0,512
2020-09-12 18:30:00,10481.0,513
2020-09-13 04:00:00,10572.5,514
2020-09-13 08:00:00,10553.5,515
2020-09-14 02:00:00,10370.0,516
2020-09-14 08:15:00,10445.0,517
2020-09-14 16:00:00,10740.0,518
2020-09-14 22:00:00,10730.0,519
2020-09-15 02:45:00,10828.0,520
2020-09-15 12:30:00,10919.5,521
2020-09-15 21:30:00,10872.5,522
2020-09-16 07:45:00,10943.0,523
2020-09-16 16:30:00,11090.5,524
2020-09-17 00:45:00,11035.0,525
2020-09-17 05:45:00,10923.0,526
2020-09-17 15:15:00,10864.0,527
2020-09-17 21:30:00,10962.5,528
2020-09-18 00:15:00,10949.0,529
2020-09-18 03:45:00,10928.0,530
2020-09-18 09:45:00,11031.5,531
2020-09-19 03:00:00,10965.0,532
2020-09-19 12:00:00,11168.0,533
2020-09-19 16:15:00,11100.5,534
2020-09-19 20:45:00,11074.5,535
2020-09-19 23:45:00,11075.0,536
2020-09-20 07:30:00,10984.0,537
2020-09-20 18:00:00,10888.0,538
2020-09-21 04:30:00,10977.0,539
2020-09-21 20:15:00,10530.0,540
2020-09-22 06:00:00,10495.0,541
2020-09-22 13:00:00,10516.5,542
2020-09-22 21:00:00,10572.0,543
2020-09-23 13:30:00,10523.5,544
2020-09-24 02:30:00,10336.0,545
2020-09-24 07:45:00,10348.0,546
2020-09-24 11:00:00,10432.5,547
