entry_time,entry_price,signal_type,tp_price,sl_price,exit_time,exit_price,exit_type,pnl_pct
2023-09-18 02:15:00,26638.4,추세확정 (BB 상단 돌파),27171.168,26372.016,2023-09-18 11:00:00,27171.168,TP,2.0
2023-09-18 07:15:00,26729.4,추세확정 (BB 상단 돌파),27263.988,26462.106,2023-09-18 12:00:00,27263.988,TP,1.9999999999999991
2023-09-18 09:00:00,26768.7,추세확정 (BB 상단 돌파),27304.074,26501.013,2023-09-18 12:30:00,27304.074,TP,1.9999999999999993
2023-09-18 09:30:00,26815.8,추세확정 (BB 상단 돌파),27352.115999999998,26547.642,2023-09-18 12:30:00,27352.115999999998,TP,1.9999999999999958
2023-09-18 18:00:00,26815.5,역추세 반등 (BB 하단),27083.655,26547.345,2023-09-19 09:00:00,27083.655,TP,0.9999999999999957
2023-09-18 18:00:00,26815.5,강력한 반전 (BB 찢고 복귀),27217.7325,26547.345,2023-09-19 09:15:00,27217.7325,TP,1.4999999999999936
2023-09-19 00:30:00,26705.0,역추세 반등 (BB 하단),26972.05,26437.95,2023-09-19 08:30:00,26972.05,TP,0.9999999999999972
2023-09-19 00:30:00,26705.0,강력한 반전 (BB 찢고 복귀),27105.574999999997,26437.95,2023-09-19 09:00:00,27105.574999999997,TP,1.4999999999999891
2023-09-19 01:00:00,26694.3,역추세 반등 (BB 하단),26961.243,26427.357,2023-09-19 08:30:00,26961.243,TP,0.9999999999999974
2023-09-19 01:00:00,26694.3,강력한 반전 (BB 찢고 복귀),27094.7145,26427.357,2023-09-19 09:00:00,27094.7145,TP,1.4999999999999962
2023-09-19 08:00:00,26891.1,추세확정 (BB 상단 돌파),27428.922,26622.189,2023-09-19 09:30:00,27428.922,TP,2.0000000000000004
2023-09-19 14:00:00,27064.8,역추세 반등 (BB 하단),27335.448,26794.152,2023-09-19 15:15:00,27335.448,TP,1.0000000000000038
2023-09-19 14:00:00,27064.8,강력한 반전 (BB 찢고 복귀),27470.771999999997,26794.152,2023-09-20 14:00:00,27095.9,Time Stop,0.11490940261890789
2023-09-19 15:15:00,27318.0,추세확정 (BB 상단 돌파),27864.36,27044.82,2023-09-19 21:15:00,27044.82,SL,-1.000000000000001
2023-09-19 15:45:00,27410.0,추세확정 (BB 상단 돌파),27958.2,27135.9,2023-09-19 17:00:00,27135.9,SL,-0.9999999999999947
2023-09-19 21:30:00,27091.1,역추세 반등 (BB 하단),27362.011,26820.189,2023-09-20 02:00:00,27362.011,TP,1.0000000000000002
