datetime,L_value,L_num
2020-06-14 18:00:00,9364.5,262
2020-06-14 22:15:00,9243.0,263
2020-06-15 06:30:00,8906.5,264
2020-06-15 13:30:00,9044.5,265
2020-06-16 00:45:00,9372.5,266
2020-06-16 06:45:00,9455.0,267
2020-06-16 15:00:00,9397.0,268
2020-06-17 03:00:00,9423.0,269
2020-06-17 06:00:00,9437.0,270
2020-06-17 16:30:00,9354.0,271
2020-06-17 20:00:00,9243.0,272
2020-06-18 02:15:00,9402.5,273
2020-06-18 10:00:00,9379.5,274
2020-06-18 16:15:00,9376.0,275
2020-06-18 21:15:00,9277.0,276
2020-06-19 03:45:00,9241.0,277
2020-06-19 07:45:00,9262.0,278
2020-06-19 20:15:00,9263.0,279
2020-06-19 23:45:00,9277.0,280
2020-06-20 04:15:00,9294.0,281
2020-06-20 11:15:00,9176.5,282
2020-06-20 15:15:00,9228.5,283
2020-06-21 10:00:00,9331.0,284
2020-06-21 13:00:00,9328.5,285
2020-06-21 19:00:00,9306.0,286
2020-06-22 00:00:00,9279.0,287
2020-06-22 19:15:00,9540.0,288
2020-06-23 01:30:00,9611.0,289
2020-06-23 21:00:00,9591.5,290
2020-06-24 12:00:00,9280.0,291
2020-06-24 15:45:00,9210.0,292
2020-06-24 21:15:00,9240.0,293
2020-06-25 03:30:00,9008.0,294
2020-06-25 12:30:00,9163.0,295
2020-06-25 19:00:00,9240.5,296
2020-06-26 00:15:00,9187.5,297
2020-06-26 14:15:00,9050.0,298
2020-06-26 19:30:00,9134.0,299
2020-06-27 01:15:00,9111.0,300
2020-06-27 11:00:00,9135.5,301
2020-06-27 19:45:00,8840.0,302
2020-06-28 03:45:00,8938.0,303
2020-06-28 12:15:00,9023.0,304
2020-06-28 17:00:00,9121.5,305
2020-06-29 04:00:00,9091.0,306
2020-06-29 08:15:00,9063.0,307
2020-06-29 13:45:00,9027.0,308
2020-06-30 01:00:00,9160.0,309
2020-06-30 06:15:00,9116.5,310
2020-06-30 13:00:00,9071.0,311
2020-06-30 19:00:00,9096.0,312
2020-07-01 00:30:00,9100.0,313
2020-07-01 11:15:00,9136.0,314
2020-07-01 22:30:00,9215.0,315
2020-07-02 06:00:00,9172.0,316
2020-07-02 08:45:00,9175.0,317
2020-07-02 16:30:00,8939.5,318
2020-07-03 00:00:00,9067.0,319
2020-07-03 04:15:00,9081.0,320
2020-07-03 09:45:00,9045.5,321
2020-07-03 14:30:00,9079.5,322
2020-07-03 23:30:00,9037.0,323
2020-07-04 12:00:00,9044.0,324
2020-07-04 15:30:00,9050.0,325
2020-07-04 23:15:00,9112.0,326
2020-07-05 03:00:00,9114.5,327
2020-07-05 09:45:00,8991.5,328
2020-07-05 14:00:00,9003.0,329
2020-07-05 21:15:00,8910.0,330
2020-07-06 10:45:00,9173.0,331
2020-07-06 20:15:00,9256.5,332
2020-07-07 02:15:00,9256.0,333
2020-07-07 06:15:00,9239.0,334
2020-07-07 20:00:00,9205.0,335
2020-07-08 05:30:00,9252.0,336
2020-07-09 02:45:00,9357.5,337
2020-07-09 10:30:00,9340.5,338
2020-07-09 15:15:00,9161.0,339
2020-07-09 19:30:00,9190.0,340
2020-07-10 04:30:00,9125.0,341
2020-07-10 11:45:00,9158.5,342
2020-07-10 18:45:00,9204.0,343
2020-07-11 09:30:00,9180.0,344
2020-07-11 20:00:00,9201.0,345
2020-07-12 07:45:00,9241.0,346
2020-07-12 13:30:00,9186.0,347
2020-07-12 19:30:00,9157.0,348
2020-07-13 00:45:00,9266.5,349
2020-07-13 06:45:00,9240.0,350
2020-07-13 15:45:00,9280.5,351
2020-07-13 19:15:00,9199.5,352
2020-07-14 01:00:00,9212.0,353
2020-07-14 04:15:00,9147.0,354
2020-07-14 11:15:00,9116.0,355
2020-07-14 14:15:00,9185.5,356
2020-07-15 04:15:00,9223.0,357
2020-07-15 09:30:00,9188.5,358
2020-07-15 18:45:00,9161.5,359
2020-07-16 00:15:00,9183.0,360
2020-07-16 10:00:00,9045.5,361
2020-07-16 14:00:00,9070.0,362
2020-07-16 20:45:00,9093.0,363
2020-07-17 05:30:00,9087.5,364
2020-07-17 17:15:00,9129.0,365
2020-07-18 03:30:00,9125.5,366
2020-07-18 19:45:00,9155.0,367
2020-07-19 03:15:00,9141.5,368
2020-07-19 10:15:00,9108.0,369
2020-07-20 10:45:00,9134.0,370
2020-07-20 19:30:00,9146.0,371
2020-07-21 16:00:00,9318.0,372
2020-07-21 19:45:00,9341.0,373
2020-07-22 01:00:00,9349.0,374
2020-07-22 07:45:00,9276.5,375
2020-07-22 14:30:00,9312.5,376
2020-07-22 21:15:00,9354.0,377
2020-07-23 03:00:00,9467.5,378
2020-07-23 05:45:00,9462.0,379
