lh_num,lh_time,lh_price,lh_pct,bb_position,bb_squeeze,bb_width,trend_1h,trend_4h,short_score,long_score,short_ratio,long_ratio,judgment,result,max_gain,max_drop
70,2020-05-02 03:45:00,8858.0,-0.3599550056243017,upper_half,tight,1.198649841193244,sideways,sideways,55,0,100.0,0.0,강력 숏,sideways,1.7159629713253466,-0.9934522465567808
71,2020-05-03 10:00:00,9138.5,-0.5712109672505683,upper_half,normal,2.3014386349400837,uptrend,downtrend,70,10,87.5,12.5,강력 숏,drop,-0.3063960168517843,-4.524812606007556
72,2020-05-03 22:15:00,8956.5,-1.9915741095365758,above_upper,tight,1.3962693250014777,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,drop,-0.10048568079048525,-4.817730140121701
73,2020-05-04 08:15:00,8715.0,-2.696365767878073,upper_half,normal,2.259164461622664,uptrend,downtrend,70,10,87.5,12.5,강력 숏,rise,2.616179001721175,-1.3080895008605875
74,2020-05-05 13:30:00,8951.0,-1.6967766734391265,upper_half,normal,3.4125509582100055,sideways,downtrend,70,0,100.0,0.0,강력 숏,sideways,1.0110602167355598,-1.4746955647413684
75,2020-05-05 17:15:00,8930.0,-0.23461065802703462,above_upper,tight,1.1440258425056797,uptrend,downtrend,85,10,89.47368421052632,10.526315789473683,강력 숏,sideways,1.5565509518477016,-0.9462486002239645
76,2020-05-06 16:00:00,9316.5,-0.6769722814498946,upper_half,tight,1.5990722961221753,uptrend,sideways,55,10,84.61538461538461,15.384615384615385,강력 숏,drop,0.8264906348950829,-2.989320023614017
77,2020-05-07 02:45:00,9371.0,-0.23952733273008286,upper_half,normal,3.010288706256113,uptrend,sideways,50,10,83.33333333333334,16.666666666666664,강력 숏,rise,2.3956888272329557,-1.4299434425354862
78,2020-05-07 08:45:00,9338.0,-0.352150250773664,above_upper,tight,0.8550732249842948,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,rise,6.580638252302418,-0.8674234311415674
79,2020-05-08 10:45:00,9957.0,-1.0189373229285703,above_upper,tight,1.9494639199267159,sideways,sideways,65,0,100.0,0.0,강력 숏,sideways,0.4820729135281754,-1.6721904188008452
80,2020-05-08 22:00:00,9999.5,-0.0549725137431234,upper_half,tight,0.9881756228387604,uptrend,sideways,55,10,84.61538461538461,15.384615384615385,강력 숏,drop,-0.11500575028751125,-4.335216760838046
81,2020-05-09 17:45:00,9795.0,-2.045102255112752,above_upper,tight,1.6599087822931309,uptrend,uptrend,65,25,72.22222222222221,27.77777777777778,강력 숏,drop,-0.08167432363450633,-16.763654925982642
82,2020-05-10 08:00:00,8898.5,-9.15262889229198,above_upper,normal,4.355078989588134,uptrend,sideways,60,10,85.71428571428571,14.285714285714285,강력 숏,drop,-0.35399224588413825,-7.169747710288254
83,2020-05-10 23:00:00,8834.0,-0.7248412653818037,upper_half,normal,4.944731763167245,uptrend,sideways,50,10,83.33333333333334,16.666666666666664,강력 숏,drop,1.7149649083088025,-4.007244736246318
84,2020-05-11 06:15:00,8725.5,-1.228209191759111,upper_half,tight,1.6185187951531919,sideways,downtrend,75,0,100.0,0.0,강력 숏,drop,4.96246633430748,-6.228869405764714
85,2020-05-11 20:00:00,8802.0,-3.8925588251351173,upper_half,wide,8.164794006787025,uptrend,downtrend,70,10,87.5,12.5,강력 숏,drop,-0.2840263576459945,-3.9138832083617348
86,2020-05-12 05:30:00,8777.0,-0.2840263576459945,upper_half,normal,2.550082841323951,uptrend,sideways,50,10,83.33333333333334,16.666666666666664,강력 숏,rise,2.233109262846078,-1.822946337017206
87,2020-05-13 02:00:00,8970.0,-0.033433634236046395,upper_half,normal,2.794741459994712,uptrend,sideways,50,10,83.33333333333334,16.666666666666664,강력 숏,sideways,1.81716833890746,-1.538461538461533
88,2020-05-14 00:15:00,9383.0,-0.18616031062177463,upper_half,normal,2.6540100923590266,sideways,sideways,50,0,100.0,0.0,강력 숏,rise,5.9362677182137835,-1.3268677395289363
89,2020-05-14 16:00:00,9781.0,-1.5995975855130795,upper_half,normal,2.3548838989979326,sideways,sideways,50,0,100.0,0.0,강력 숏,drop,0.9457110724874651,-5.341989571618444
